,name,films,Photo
60,Ryan Hurst,Remember the Titans,"https://m.media-amazon.com/images/M/MV5BZjFjYjQ5YWQtZTE2My00YTliLWIwNjItZTFjZDVhMzJjN2JkXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR69,0,140,209_AL_.jpg"
61,Alexander Skarsgård,The Legend of Tarzan,"https://m.media-amazon.com/images/M/MV5BMTY1MjQxNjEzOF5BMl5BanBnXkFtZTgwMTU5ODM2ODE@._V1_UX140_CR0,0,140,209_AL_.jpg"
62,Brad Pitt,Ad Astra,"https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
63,Jessica Chastain,Zero Dark Thirty,"https://m.media-amazon.com/images/M/MV5BMTU1MDM5NjczOF5BMl5BanBnXkFtZTcwOTY2MDE4OA@@._V1_UY209_CR0,0,140,209_AL_.jpg"
64,Miguel Bernardeau,Sabuesos,"https://m.media-amazon.com/images/M/MV5BM2ZhZmM0M2MtZDQ4Ni00ZTAyLTkyODQtNGJkZTE2NDc0NzNkXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UY209_CR4,0,140,209_AL_.jpg"
65,Madelyn Cline,Boy Erased,"https://m.media-amazon.com/images/M/MV5BMTkyYWJiYTktZDlkMC00ZmZjLWI4MjQtYmQwNzg1OGQ3NDJhXkEyXkFqcGdeQXVyMjA0MjY3MzI@._V1_UX140_CR0,0,140,209_AL_.jpg"
66,Meghann Fahy,The Bold Type,"https://m.media-amazon.com/images/M/MV5BNDRjNmQyNzgtNmQzYy00MjBlLWJmM2YtN2RhNzUzYzNmY2I4XkEyXkFqcGdeQXVyMTExNzQzMDE0._V1_UX140_CR0,0,140,209_AL_.jpg"
67,Lucas Lynggaard Tønnesen,The Rain,"https://m.media-amazon.com/images/M/MV5BYWI5OTM0YjgtYTc4NS00ZDBjLTljNWQtMWU3ZjY4NzA1NTE4XkEyXkFqcGdeQXVyNDY1NDQ3OTU@._V1_UY209_CR3,0,140,209_AL_.jpg"
68,Taylor Russell,Bones and All,"https://m.media-amazon.com/images/M/MV5BZGI4MWYxZjctYzkxYS00Y2M3LTk5NzQtOTU0YTMwMmU4YTc5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR24,0,140,209_AL_.jpg"
69,Taylor Momsen,How the Grinch Stole Christmas,"https://m.media-amazon.com/images/M/MV5BNjIzNzIxMjI0MF5BMl5BanBnXkFtZTcwODk3NDA5Mg@@._V1_UY209_CR3,0,140,209_AL_.jpg"
70,Fred Armisen,Portlandia,"https://m.media-amazon.com/images/M/MV5BNDY3MTQyMzQ1OF5BMl5BanBnXkFtZTcwOTMyNzQ4Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg"
71,Diego Luna,Rogue One,"https://m.media-amazon.com/images/M/MV5BOTE0MjI2NDczMl5BMl5BanBnXkFtZTcwMTgwMDgyMg@@._V1_UY209_CR2,0,140,209_AL_.jpg"
72,Eric Lloyd,The Santa Clause,"https://m.media-amazon.com/images/M/MV5BMTIxNjE5MTIwNV5BMl5BanBnXkFtZTYwNTEzMDY0._V1_UY209_CR2,0,140,209_AL_.jpg"
73,Joey King,The Act,"https://m.media-amazon.com/images/M/MV5BODJmZjUyZDUtYWU1MC00YmNjLWEzODgtOTFlMDRjZDQ0ZjRlXkEyXkFqcGdeQXVyMjMzMjAyOA@@._V1_UY209_CR34,0,140,209_AL_.jpg"
74,Justin Hartley,This Is Us,"https://m.media-amazon.com/images/M/MV5BNzk5ODQxNDY3MV5BMl5BanBnXkFtZTgwNjMwNTk2OTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
75,Kristen Bell,Frozen,"https://m.media-amazon.com/images/M/MV5BMjA1Njc0MTUzN15BMl5BanBnXkFtZTgwNTg1MjEwNDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
76,Jennifer Connelly,A Beautiful Mind,"https://m.media-amazon.com/images/M/MV5BNWM0OTlhYmQtZWI0NS00NzM0LWE5YjItMWZmYzkzY2FmNTc2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX140_CR0,0,140,209_AL_.jpg"
77,Tom Hollander,Pride & Prejudice,"https://m.media-amazon.com/images/M/MV5BMjA4NjY0NjM4M15BMl5BanBnXkFtZTcwOTEwMjQzMQ@@._V1_UY209_CR14,0,140,209_AL_.jpg"
78,Tim Burton,Edward Scissorhands,"https://m.media-amazon.com/images/M/MV5BOGJmZDUwMzktYmY2MS00M2IwLWIyNmQtYjJhYjc4NjIyZWM1XkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UY209_CR0,0,140,209_AL_.jpg"
79,Kate Micucci,When in Rome,"https://m.media-amazon.com/images/M/MV5BMTY3NjEwMzk1Nl5BMl5BanBnXkFtZTcwOTA0NzExNA@@._V1_UY209_CR2,0,140,209_AL_.jpg"
80,Kyle Gallner,Scream,"https://m.media-amazon.com/images/M/MV5BZDU5ZDIxZTctMmU4Zi00MmEzLTk5ZWUtN2ZlYTRjZDhiYTdjXkEyXkFqcGdeQXVyNDUxNjE3MA@@._V1_UY209_CR13,0,140,209_AL_.jpg"
81,Luke Grimes,Fifty Shades of Grey,"https://m.media-amazon.com/images/M/MV5BMTcyNzgxNDY2Nl5BMl5BanBnXkFtZTgwMTcxMjA3NTM@._V1_UX140_CR0,0,140,209_AL_.jpg"
82,Nicolas Cage,Face/Off,"https://m.media-amazon.com/images/M/MV5BMjUxMjE4MTQxMF5BMl5BanBnXkFtZTcwNzc2MDM1NA@@._V1_UY209_CR6,0,140,209_AL_.jpg"
83,Clara Rosager,Morbius,"https://m.media-amazon.com/images/M/MV5BNjc3Nzk5MjMyNl5BMl5BanBnXkFtZTgwODc1MjQxNzM@._V1_UY209_CR128,0,140,209_AL_.jpg"
84,David Tennant,Doctor Who,"https://m.media-amazon.com/images/M/MV5BMTEzOTA4NTAzOTReQTJeQWpwZ15BbWU4MDg1ODc4NzEx._V1_UY209_CR2,0,140,209_AL_.jpg"
85,Leonardo DiCaprio,Inception,"https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY209_CR7,0,140,209_AL_.jpg"
86,Garret Dillahunt,12 Years a Slave,"https://m.media-amazon.com/images/M/MV5BNGU2YjQ5MGQtMzAyYy00MGM0LWFhYmMtZmYxNjFiZjliYmNjXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR23,0,140,209_AL_.jpg"
87,Tom Hanks,Cast Away,"https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
88,Harris Dickinson,Beach Rats,"https://m.media-amazon.com/images/M/MV5BMjQxMjM2MGUtMTMwMy00MTQ4LWFhODMtYTNkNTFhMTNlNTdiXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR41,0,140,209_AL_.jpg"
89,Allison Janney,The Help,"https://m.media-amazon.com/images/M/MV5BMjAyNjc2NzgxM15BMl5BanBnXkFtZTgwODQyMjM1MjE@._V1_UY209_CR6,0,140,209_AL_.jpg"
90,Letitia Wright,Black Panther,"https://m.media-amazon.com/images/M/MV5BMjIyMzgxMzc5N15BMl5BanBnXkFtZTgwNDg3NzYzMDI@._V1_UY209_CR32,0,140,209_AL_.jpg"
91,Elsa Pataky,Furious 6,"https://m.media-amazon.com/images/M/MV5BMTAyNjU4MzkyNzleQTJeQWpwZ15BbWU3MDk2NTQ0Mjk@._V1_UX140_CR0,0,140,209_AL_.jpg"
92,Mckenna Grace,Gifted,"https://m.media-amazon.com/images/M/MV5BOTkyZDQ2MjAtN2Q2Ni00ZDA5LWI3MzgtMmVjZDM4OWU2NGI3XkEyXkFqcGdeQXVyMzQxNjUxMDE@._V1_UY209_CR3,0,140,209_AL_.jpg"
93,Adam DiMarco,The White Lotus,"https://m.media-amazon.com/images/M/MV5BMGNkMmM4MTgtNTNhNS00YWVjLTg3YTYtM2UyNjFkNzdlYjMwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR15,0,140,209_AL_.jpg"
94,Jen Landon,Yellowstone,"https://m.media-amazon.com/images/M/MV5BMDc2YzI1MDMtODZjNS00YWUxLWI3NjEtM2JmODczNmNlMTg1XkEyXkFqcGdeQXVyMTA2MDIzMDE5._V1_UX140_CR0,0,140,209_AL_.jpg"
95,Maciej Musial,Krew z krwi,"https://m.media-amazon.com/images/M/MV5BZjVhZGM5ZmQtNzc2MC00MDUzLWE0MmItZTNlZTlkZjgwYzNkXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR18,0,140,209_AL_.jpg"
96,Lauren Cohan,The Boy,"https://m.media-amazon.com/images/M/MV5BMjA1MDg0MzgxOF5BMl5BanBnXkFtZTgwMzM5NDg1MzE@._V1_UY209_CR12,0,140,209_AL_.jpg"
97,Amy Jo Johnson,Tammy's Always Dying,"https://m.media-amazon.com/images/M/MV5BZDJjZWI1NTUtYTIwYy00NWUzLTgyNzctMGQ0NTBjODhiMDMxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR8,0,140,209_AL_.jpg"
98,Niamh Algar,Raised by Wolves,"https://m.media-amazon.com/images/M/MV5BZjg0MzQ3NTEtYzNhMC00NGEyLWE3OGEtZjU1NWUzYTcxZjg3XkEyXkFqcGdeQXVyMTM1MjAxMDc3._V1_UY209_CR8,0,140,209_AL_.jpg"
99,Marlo Thomas,That Girl,"https://m.media-amazon.com/images/M/MV5BMTg2NjUyNTkwOV5BMl5BanBnXkFtZTcwMTgyNjY0MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
100,Kevin Costner,The Postman,"https://m.media-amazon.com/images/M/MV5BMTY1ODkwMTQxOF5BMl5BanBnXkFtZTcwNzkwNDcyMw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
101,Paget Brewster,Criminal Minds,"https://m.media-amazon.com/images/M/MV5BMWFhNzY5MWQtNzU0OC00NmNhLTlkMDctYTZmYTM3OTBmM2Q0XkEyXkFqcGdeQXVyMDcxMzQ4NA@@._V1_UY209_CR1,0,140,209_AL_.jpg"
102,Glen Powell,Hidden Figures,"https://m.media-amazon.com/images/M/MV5BMGEzMTIwM2UtYjc5MC00ZGI4LWJiOTAtYzAwZmU0OTYzYWIxXkEyXkFqcGdeQXVyNDg0MzQyNA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
103,David Harbour,Revolutionary Road,"https://m.media-amazon.com/images/M/MV5BZTc5ODUzMDAtZGFhZS00NmExLTlhYWYtZDY0NGI2MGMwYTIzXkEyXkFqcGdeQXVyODY0MzQyODc@._V1_UY209_CR14,0,140,209_AL_.jpg"
104,Jake Lacy,Carol,"https://m.media-amazon.com/images/M/MV5BZDA2ODk3YjItMjY4OC00YTk5LWE4ZjYtZTUzMWE4MTg5YTZlXkEyXkFqcGdeQXVyMTI2Nzk2MjQ1._V1_UY209_CR34,0,140,209_AL_.jpg"
105,Pauline Chalamet,The Sex Lives of College Girls,"https://m.media-amazon.com/images/M/MV5BMDExZjYzM2EtNzM1My00NDNlLWEwZmMtZDJjYWMzYTE2ODE0XkEyXkFqcGdeQXVyNjcwNjYxMTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
106,Vanessa Kirby,The Crown,"https://m.media-amazon.com/images/M/MV5BYzUzNjkwMjMtODRiNi00ZTliLWE3Y2ItMDJmZmFmNjg1YTMyXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR1,0,140,209_AL_.jpg"
107,Keanu Reeves,The Matrix,"https://m.media-amazon.com/images/M/MV5BNGJmMWEzOGQtMWZkNS00MGNiLTk5NGEtYzg1YzAyZTgzZTZmXkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UX140_CR0,0,140,209_AL_.jpg"
108,Jonny Lee Miller,Mindhunters,"https://m.media-amazon.com/images/M/MV5BMjIyMjc0NTA2M15BMl5BanBnXkFtZTcwMTA4MzQ2OQ@@._V1_UY209_CR8,0,140,209_AL_.jpg"
109,Andrea Anders,Spirited,"https://m.media-amazon.com/images/M/MV5BMjgxY2NiNDctYThjYy00M2M5LTkxNTUtNDE1OTAwYThlNmIyXkEyXkFqcGdeQXVyMzE3OTQyNTg@._V1_UX140_CR0,0,140,209_AL_.jpg"
110,Harrison Ford,Raiders of the Lost Ark,"https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
