,Titre,Notes_moyennes,Nombres_votes,Recettes_Films
425,Rabbit Hole,7.6,7.0,"2,221,809"
426,Standard Operating Procedure,7.0,7.5,0
427,Sleep Tight,7.0,7.2,0
428,Aztec Warrior,0.0,7.0,0
429,Running Forever,0.0,8.6,0
430,I Served the King of England,7.2,7.4,"600,000"
431,Soul Kitchen,7.6,7.3,"200,000"
432,Take Shelter,8.5,7.4,"1,600,000"
433,Barfi,0.0,7.1,0
434,Out of the Blue,7.0,7.2,0
435,Donnie Darko,8.8,8.1,0
436,Lady Vengeance,7.5,7.6,0
437,Lilya 4-Ever,8.2,7.9,0
438,Exiled,7.3,7.3,0
439,Airlift,0.0,8.2,"168,391"
440,Whale Rider,8.0,7.6,"20,661,128"
441,Sexy Beast,7.9,7.3,"5,972,627"
442,Lost in Translation,8.9,7.8,"44,566,004"
443,Monster's Ball,6.9,7.1,"31,252,964"
444,Boyhood,10.0,7.9,"18,859,617"
445,The Kids Are All Right,8.6,7.1,"20,803,237"
446,The Cooler,6.9,7.0,"8,179,538"
447,The Orphanage,7.4,7.5,"6,905,218"
448,Holy Motors,8.4,7.1,"641,054"
449,Joe,7.4,6.9,"257,588"
450,"Buen Día, Ramón",0.0,7.6,0
451,The Geographer Drank His Globe Away,0.0,7.5,0
452,Down for Life,0.0,7.1,"39,644"
453,House of Sand,7.0,7.4,0
454,The History Boys,7.4,6.9,"2,568,197"
455,The Secret in Their Eyes,8.0,8.2,"6,390,014"
456,Time to Choose,7.5,7.2,"29,233"
457,"Batman: The Dark Knight Returns, Part 2",0.0,8.4,0
458,The Hunt,7.6,8.3,"610,968"
459,March of the Penguins,7.9,7.6,"77,100,000"
460,Margin Call,7.6,7.1,"600,000"
461,Whiplash,8.8,8.5,0
462,City of God,7.9,8.7,0
463,The Class,9.2,7.5,"3,700,000"
464,Maria Full of Grace,8.7,7.5,"6,517,198"
465,Beginners,8.1,7.2,"5,764,842"
466,Coming Home,8.1,7.3,"209,592"
467,Bowling for Columbine,7.2,8.0,"21,300,000"
468,Slow West,7.2,6.9,0
469,Dave Chappelle's Block Party,8.4,7.2,"11,700,000"
470,Before Midnight,9.4,7.9,"8,114,507"
471,Real Women Have Curves,7.1,7.0,"5,677,043"
472,Water,7.7,7.8,"3,113,922"
473,Frances Ha,8.2,7.4,"3,900,000"
474,Thirteen Conversations About One Thing,7.4,7.1,"3,004,491"
475,Tsotsi,7.0,7.3,"2,753,840"
476,Oldboy,7.4,8.4,"637,778"
477,Fish Tank,8.1,7.3,"187,074"
478,Love's Abiding Joy,0.0,7.1,"229,221"
479,Lage Raho Munna Bhai,0.0,8.1,0
480,Ida,9.1,7.4,0
481,Riding Giants,8.0,7.9,"2,068,426"
482,Silver Medallist,0.0,7.4,0
483,The Spectacular Now,8.2,7.1,0
484,This Is England,8.6,7.7,"95,849"
485,Elling,7.0,7.6,"63,227"
486,Mi America,0.0,7.0,0
487,[Rec],0.0,7.5,0
488,Sharkskin,0.0,7.3,0
489,It Follows,8.3,6.9,"10,705,259"
490,The Lives of Others,8.9,8.5,"11,200,000"
491,The Triplets of Belleville,9.1,7.8,0
492,Winter's Bone,9.0,7.2,"6,200,000"
493,American Splendor,9.0,7.5,"5,977,550"
494,Before Sunset,9.0,8.0,"5,600,000"
495,Amores Perros,8.3,8.1,"4,856,342"
496,Touching the Void,8.2,8.1,"4,527,224"
497,Inside Job,8.8,8.3,"4,311,834"
498,Me and You and Everyone We Know,7.6,7.4,"3,800,000"
499,Waltz with Bashir,9.1,8.0,"2,300,000"
500,The Diary of a Teenage Girl,8.7,6.9,0
501,No End in Sight,8.9,8.3,"1,250,100"
502,In the Shadow of the Moon,8.4,8.1,"941,775"
503,Dinner Rush,7.9,7.3,0
504,Growing Up Smith,0.0,7.7,"14,867"
505,Man on Wire,8.9,7.8,"2,600,296"
506,Brotherly Love,0.0,6.9,"46,290"
507,Submarine,7.6,7.3,"400,000"
508,The Square,8.4,8.1,"88,569"
509,Beasts of the Southern Wild,8.6,7.3,"12,784,397"
510,Travelers and Magicians,7.1,7.5,0
511,A Beginner's Guide to Snuff,0.0,7.1,"5,204"
512,In the Bedroom,8.6,7.5,"35,733,119"
513,The Lunchbox,7.6,7.8,"4,231,500"
514,Caramel,7.0,7.2,"1,000,000"
515,Waitress,7.5,7.0,"18,699,775"
516,The Squid and the Whale,8.2,7.4,"7,073,391"
517,The Gatekeepers,9.1,7.6,"2,408,553"
518,Nine Queens,8.0,7.9,"1,078,919"
519,The Believer,7.5,7.2,0
520,Queen of the Mountains,0.0,8.6,0
521,Journey from the Fall,7.0,7.3,"498,000"
522,The Amazing Catfish,6.9,7.0,0
523,Monsoon Wedding,7.7,7.4,"14,000,000"
524,You Can Count on Me,8.5,7.7,"8,409,329"
525,The Second Mother,8.2,7.8,0
526,The Knife of Don Juan,0.0,7.2,0
527,The Raid: Redemption,7.3,7.6,"1,200,000"
528,Dracula: Pages from a Virgin's Diary,8.4,7.0,0
529,Faith Like Potatoes,0.0,6.9,0
530,Rocket Singh: Salesman of the Year,0.0,7.5,0
531,An Inconvenient Truth,7.5,7.5,"23,727,472"
532,Blue Valentine,8.1,7.4,"9,600,000"
533,The Sessions,7.9,7.2,"5,997,134"
534,Shine a Light,7.6,7.2,"5,300,000"
535,20 Feet from Stardom,8.3,7.4,0
536,"Food, Inc.",8.0,7.9,"4,238,694"
537,Martha Marcy May Marlene,7.6,6.9,"2,981,038"
538,Frozen River,8.2,7.2,"2,061,019"
539,Who Killed the Electric Car?,7.0,7.7,"1,324,335"
540,Ajami,8.2,7.4,"500,000"
541,All the Real Girls,7.1,6.9,0
542,The Act of Killing,8.9,8.2,"281,592"
543,Antarctica: A Year on Ice,6.9,7.6,"287,761"
544,Taxi to the Dark Side,8.2,7.6,0
545,Guiana 1838,0.0,7.4,0
546,Karachi se Lahore,0.0,6.9,0
547,Hidden Away,0.0,7.2,0
548,1982,0.0,6.9,0
549,Por amor en el caserio,0.0,8.0,0
550,Fruitvale Station,8.5,7.5,"11,010,136"
551,"4 Months, 3 Weeks and 2 Days",9.7,7.9,"1,200,000"
552,Harrison Montgomery,0.0,7.3,0
553,Crying with Laughter,0.0,6.9,0
554,A Separation,9.5,8.4,"6,700,000"
555,Raising Victor Vargas,8.3,7.2,"1,965,981"
556,Live-In Maid,7.8,7.2,0
557,Kevin Hart: Laugh at My Pain,0.0,7.5,"7,705,974"
558,Safety Not Guaranteed,7.2,7.0,"4,007,792"
559,Destiny,0.0,8.2,0
560,Rize,7.4,7.1,"3,278,611"
